date,description,amount
20251201,MAGTAPE CREDIT 9090,2504.0
20251201,CREDIT TRANSFER 9104,1500.0
20251201,CREDIT TRANSFER 9296,2100.0
20251201,CREDIT TRANSFER 9332,716.0
20251201,CREDIT TRANSFER 9336,2500.0
20251201,CREDIT TRANSFER 9758,1000.0
20251201,CREDIT TRANSFER 9805,2500.0
20251201,MAGTAPE CREDIT 9822,1035.82
20251201,CREDIT TRANSFER 9861,2500.0
20251201,CREDIT TRANSFER 9880,2164.0
20251201,IB PAYMENT FROM,510.0
20251201,PAYSHAP PAYMENT FROM,2400.0
20251201,AUTOBANK CASH DEPOSIT,2500.0
20251201,PAYSHAP PAYMENT FROM,2500.0
20251201,AUTOBANK CASH DEPOSIT,3000.0
20251201,PAYSHAP PAYMENT FROM,3000.0
20251201,AUTOBANK CASH DEPOSIT,3200.0
20251201,STOP ORDER,4000.0
20251201,CHEQUE CARD PURCHASE 9355,-1445.84
20251201,DEBIT TRANSFER 9348,-17079.72
20251201,ACCOUNT PAYMENT 9713,-872.85
20251201,CASH DEPOSIT FEE - AUTOBANK Ht,-37.3
20251201,CASH DEPOSIT FEE - AUTOBANK Ht,-43.8
20251201,CASH DEPOSIT FEE - AUTOBANK Ht,-46.4
20251202,CREDIT TRANSFER,9484.0
20251202,CREDIT TRANSFER 9841,2000.0
20251202,AUTOBANK CASH DEPOSIT,1620.0
20251202,IB PAYMENT FROM,3000.0
20251202,ELECTRONIC BANKING PAYMENT TO,-300.0
20251202,ELECTRONIC BANKING PAYMENT TO,-1950.0
20251202,ELECTRONIC BANKING PAYMENT TO,-12000.0
20251202,ELECTRONIC BANKING PAYMENT TO.,-12150.0
20251202,DEBIT TRANSFER 9665,-1564.08
20251202,CREDIT CARD EFTPOS SETTLEMENT,2428.12
20251202,CASH DEPOSIT FEE - AUTOBANK HH,-26.9
20251203,MAGTAPE CREDIT 9249,2500.0
20251203,CREDIT TRANSFER 9262,2016.0
20251203,CREDIT TRANSFER 9639,2500.0
20251203,CREDIT TRANSFER 9807,2500.0
20251203,AUTOBANK CASH DEPOSIT,1000.0
20251203,AUTOBANK CASH DEPOSIT,1000.0
20251203,PAYSHAP PAYMENT FROM,1000.0
20251203,ELECTRONIC BANKING PAYMENT TO.,-12546.76
20251203,CREDIT CARD EFTPOS SETTLEMENT,2519.42
20251203,CASH DEPOSIT FEE - AUTOBANK Ht,-17.8
20251203,CASH DEPOSIT FEE - AUTOBANK HH,-17.8
20251203,BUSINESS ELECT BANK CHARGES Ht,-1355.97
20251204,MAGTAPE CREDIT 9765,372423.59
20251204,CREDIT TRANSFER 9791,2000.0
20251204,AUTOBANK CASH DEPOSIT,2600.0
20251204,ELECTRONIC BANKING PAYMENT TO,-1748.0
20251204,ELECTRONIC BANKING PAYMENT TO,-71538.59
20251204,CREDIT CARD EFTPOS SETTLEMENT,990.67
20251204,CASH DEPOSIT FEE - AUTOBANK Ht,-38.6
20251205,MAGTAPE CREDIT 9190,10520.0
20251205,CREDIT TRANSFER 9567,1000.0
20251205,CREDIT TRANSFER 9626,78000.0
20251205,CHEQUE CARD PURCHASE 9910,-570.0
20251205,CREDIT AGREEMENT REPAYMENT 9443,-8253.08
20251206,CREDIT TRANSFER 9124,7350.0
20251206,CREDIT TRANSFER 9508,2500.0
20251206,CREDIT TRANSFER 9596,1360.0
20251208,PAYSHAP PAYMENT FROM,2800.0
20251208,PAYSHAP PAYMENT FROM,3520.0
20251208,ELECTRONIC BANKING PAYMENT TO,-4500.0
20251208,CREDIT CARD EFTPOS SETTLEMENT,2428.12
20251209,CREDIT TRANSFER 9356,2500.0
20251209,CREDIT TRANSFER 9706,2800.0
20251209,CREDIT TRANSFER 9926,1500.0
20251209,AUTOBANK CASH DEPOSIT,200.0
20251209,PAYSHAP PAYMENT FROM,1404.87
20251209,IB PAYMENT FROM,1500.0
20251209,PAYSHAP PAYMENT FROM,2070.0
20251209,AUTOBANK CASH DEPOSIT,2400.0
20251209,AUTOBANK CASH DEPOSIT,2400.0
20251209,AUTOBANK CASH DEPOSIT,2600.0
20251209,PAYSHAP PAYMENT FROM,2700.0
20251209,PAYSHAP PAYMENT FROM,3100.0
20251209,IB PAYMENT FROM,4000.0
20251209,IB PAYMENT FROM,5420.0
20251209,IB PAYMENT FROM,6500.0
20251209,AUTOBANK CASH DEPOSIT,14600.0
20251209,CASH DEPOSIT FEE - AUTOBANK HH,-7.4
20251209,CASH DEPOSIT FEE - AUTOBANK Ht,-36.0
20251209,CASH DEPOSIT FEE - AUTOBANK Ht,-36.0
20251209,CASH DEPOSIT FEE - AUTOBANK Ht,-38.6
20251209,CASH DEPOSIT FEE - AUTOBANK Ht,-194.6
20251210,CREDIT TRANSFER,4000.0
20251210,CREDIT TRANSFER 9496,2150.0
20251210,AUTOBANK CASH DEPOSIT,400.0
20251210,IB PAYMENT FROM,1000.0
20251210,PAYSHAP PAYMENT FROM,1250.0
20251210,PAYSHAP PAYMENT FROM,2000.0
20251210,PAYSHAP PAYMENT FROM,2000.0
20251210,PAYSHAP PAYMENT FROM,2500.0
20251210,AUTOBANK CASH DEPOSIT,3570.0
20251210,AUTOBANK CASH DEPOSIT,3570.0
20251210,AUTOBANK CASH DEPOSIT,3600.0
20251210,AUTOBANK CASH DEPOSIT,6250.0
20251210,CREDIT CARD EFTPOS SETTLEMENT,8379.93
20251210,CASH DEPOSIT FEE - AUTOBANK Ht,-10.0
20251210,CASH DEPOSIT FEE - AUTOBANK Ht,-51.6
20251210,CASH DEPOSIT FEE - AUTOBANK HH,-51.6
20251210,CASH DEPOSIT FEE - AUTOBANK HH,-51.6
20251210,CASH DEPOSIT FEE - AUTOBANK Ht,-86.7
20251211,MAGTAPE CREDIT 9820,2500.0
20251211,PAYSHAP PAYMENT FROM,155.0
20251211,ELECTRONIC BANKING PAYMENT FR,2520.0
20251211,ELECTRONIC BANKING PAYMENT FR,51357.24
20251211,ELECTRONIC BANKING PAYMENT FR,240157.0
20251211,ELECTRONIC BANKING PAYMENT TO,-480.0
20251211,ELECTRONIC BANKING PAYMENT TO,-1050.0
20251211,ELECTRONIC BANKING PAYMENT TO,-2500.0
20251211,ELECTRONIC BANKING PAYMENT TO,-3000.0
20251211,ELECTRONIC BANKING PAYMENT TO,-5671.18
20251211,ELECTRONIC BANKING PAYMENT TO,-5671.18
20251211,ELECTRONIC BANKING PAYMENT TO,-5789.8
20251211,ELECTRONIC BANKING PAYMENT TO,-5789.8
20251211,ELECTRONIC BANKING PAYMENT TO,-6284.8
20251211,ELECTRONIC BANKING PAYMENT TO,-6284.8
20251211,ELECTRONIC BANKING PAYMENT TO,-8959.24
20251211,ELECTRONIC BANKING PAYMENT TO,-9000.0
20251211,ELECTRONIC BANKING PAYMENT TO,-13652.88
20251211,ELECTRONIC BANKING PAYMENT TO,-14168.97
20251211,ELECTRONIC BANKING PAYMENT TO,-15108.6
20251211,ELECTRONIC BANKING PAYMENT TO,-16371.18
20251211,ELECTRONIC BANKING PAYMENT TO,-16430.92
20251211,ELECTRONIC BANKING PAYMENT TO,-16450.41
20251211,ELECTRONIC BANKING PAYMENT TO,-16929.95
20251211,ELECTRONIC BANKING PAYMENT TO,-17411.22
20251211,ELECTRONIC BANKING PAYMENT TO,-17604.28
20251211,ELECTRONIC BANKING PAYMENT TO,-17946.82
20251211,ELECTRONIC BANKING PAYMENT TO,-18910.42
20251211,ELECTRONIC BANKING PAYMENT TO,-19296.92
20251211,ELECTRONIC BANKING PAYMENT TO,-22127.94
20251211,ELECTRONIC BANKING PAYMENT TO,-22517.92
20251211,ELECTRONIC BANKING PAYMENT TO,-22713.28
20251211,ELECTRONIC BANKING PAYMENT TO,-25483.46
20251211,ELECTRONIC BANKING PAYMENT TO,-26624.17
20251211,ELECTRONIC BANKING PAYMENT TO,-28694.17
20251211,ELECTRONIC BANKING PAYMENT TO,-28977.72
20251211,ELECTRONIC BANKING PAYMENT TO,-35251.65
20251211,ELECTRONIC BANKING PAYMENT TO,-37402.75
20251211,ELECTRONIC BANKING PAYMENT TO,-40784.02
20251211,ELECTRONIC BANKING PAYMENT TO,-57696.92
20251211,ELECTRONIC BANKING PAYMENT TO,-58394.14
20251211,ELECTRONIC BANKING PAYMENT TO,-635027.18
20251212,CREDIT TRANSFER 9006,2500.0
20251212,CREDIT TRANSFER 9113,5000.0
20251212,CREDIT TRANSFER 9167,5018.0
20251212,CREDIT TRANSFER 9239,2500.0
20251212,CREDIT TRANSFER 9355,29400.0
20251212,CREDIT TRANSFER 9376,2500.0
20251212,MAGTAPE CREDIT 9462,2500.0
20251212,CREDIT TRANSFER 9478,1000.0
20251212,CREDIT TRANSFER 9727,14918.0
20251212,CREDIT TRANSFER 9799,2500.0
20251212,PAYSHAP PAYMENT FROM,500.0
20251212,AUTOBANK CASH DEPOSIT,1000.0
20251212,AUTOBANK CASH DEPOSIT,2900.0
20251212,IB PAYMENT FROM,3000.0
20251212,AUTOBANK CASH DEPOSIT,3900.0
20251212,PAYSHAP PAYMENT FROM,4000.0
20251212,REAL TIME TRANSFER FROM,4100.0
20251212,IB PAYMENT FROM,10000.0
20251212,CREDIT CARD EFTPOS SETTLEMENT,16887.11
20251212,CASH DEPOSIT FEE - AUTOBANK HH,-17.8
20251212,CASH DEPOSIT FEE - AUTOBANK Ht,-42.5
20251212,CASH DEPOSIT FEE - AUTOBANK Ht,-55.5
20251213,CREDIT TRANSFER 9004,2500.0
20251213,CREDIT TRANSFER 9537,2500.0
20251213,CREDIT TRANSFER 9818,2500.0
20251213,CREDIT CARD EFTPOS SETTLEMENT,14663.09
20251215,CREDIT TRANSFER 9029,2520.0
20251215,CREDIT TRANSFER 9145,10000.0
20251215,CREDIT TRANSFER 9193,800.0
20251215,CREDIT TRANSFER 9339,20000.0
20251215,MAGTAPE CREDIT 9365,24520.0
20251215,CREDIT TRANSFER 9419,2500.0
20251215,CREDIT TRANSFER 9440,1000.0
20251215,CREDIT TRANSFER 9786,2000.0
20251215,PAYSHAP PAYMENT FROM,1100.0
20251215,IB PAYMENT FROM,1150.0
20251215,IB PAYMENT FROM,2410.0
20251215,REAL TIME TRANSFER FROM,2500.0
20251215,IB PAYMENT FROM,2520.0
20251215,PAYSHAP PAYMENT FROM,2960.0
20251215,REAL TIME TRANSFER FROM,9330.0
20251215,IB PAYMENT FROM,10000.0
20251215,TELETRANSMISSION INWARD.,12300.0
20251215,CHEQUE CARD PURCHASE 9437,-250.48
20251215,ELECTRONIC BANKING PAYMENT TO,-1847.88
20251215,ELECTRONIC BANKING PAYMENT TO,-18533.41
20251215,ELECTRONIC BANKING PAYMENT TO,-40000.0
20251215,ELECTRONIC BANKING PAYMENT TO,-48300.0
20251215,FEE-TELETRANSMISSION INWARD #,-209.0
20251217,CREDIT TRANSFER 9052,11170.0
20251217,CREDIT TRANSFER 9391,8000.0
20251217,CREDIT TRANSFER,1330.0
20251217,CREDIT TRANSFER 9481,4000.0
20251217,AUTOBANK CASH DEPOSIT,600.0
20251217,ELECTRONIC BANKING PAYMENT FR,1464.84
20251217,IB PAYMENT FROM,2440.0
20251217,PAYSHAP PAYMENT FROM,2500.0
20251217,ELECTRONIC BANKING PAYMENT TO,-3311.4
20251217,CASH DEPOSIT FEE - AUTOBANK Ht,-12.6
20251218,CREDIT TRANSFER 9254,6000.0
20251218,CREDIT TRANSFER 9346,500.0
20251218,CREDIT TRANSFER 9486,2600.0
20251218,CREDIT TRANSFER 9750,2500.0
20251218,CREDIT TRANSFER 9805,6000.0
20251218,CREDIT TRANSFER 9845,3500.0
20251218,MAGTAPE CREDIT 9875,8000.0
20251218,AUTOBANK CASH DEPOSIT,1000.0
20251218,PAYSHAP PAYMENT FROM,2000.0
20251218,PAYSHAP PAYMENT FROM,2500.0
