date,description,amount
20251201,MAGTAPE CREDIT 9090 NPNUPAY  85131/25112910251129,2504.0
20251201,CREDIT TRANSFER 9104 CAPITEC UNAKHO JACK FOR GR12,1500.0
20251201,CREDIT TRANSFER 9296 CAPITEC 280690819 BABA -001,2100.0
20251201,CREDIT TRANSFER 9332 CAPITEC T MVENI- MFUNDISI,716.0
20251201,CREDIT TRANSFER 9336 CAPITEC ZOZIBINI MFUNDISI,2500.0
20251201,CREDIT TRANSFER 9758 CAPITEC YEKOO05,1000.0
20251201,CREDIT TRANSFER 9805 Esona Gemby,2500.0
20251201,MAGTAPE CREDIT 9822 DSB ATTORNEYS.,1035.82
20251201,CREDIT TRANSFER 9861 ABSA BANK Nyudwana Hloma,2500.0
20251201,CREDIT TRANSFER 9880 ABSA BANK Nangamso Siswana,2164.0
20251201,IB PAYMENT FROM QAKUO001,510.0
20251201,PAYSHAP PAYMENT FROM Silingela - Amyoli,2400.0
20251201,AUTOBANK CASH DEPOSIT Pawolwam Pukwana 9493,2500.0
20251201,PAYSHAP PAYMENT FROM NXANOO1,2500.0
20251201,AUTOBANK CASH DEPOSIT TC Chikandiwa 8712,3000.0
20251201,PAYSHAP PAYMENT FROM Gift Mfazwe,3000.0
20251201,AUTOBANK CASH DEPOSIT ZAMANDLANE MONI J750,3200.0
20251201,STOP ORDER LMAHLUTSHANA MAHL018,4000.0
20251201,CHEQUE CARD PURCHASE 9355 PnP Fam Queens4278193343868527,-1445.84
20251201,DEBIT TRANSFER 9348 SANTAM _ J124582307,-17079.72
20251201,ACCOUNT PAYMENT 9713 SMARTBUS _306672393_SMARTBUS,-872.85
20251201,CASH DEPOSIT FEE - AUTOBANK Ht,-37.3
20251201,CASH DEPOSIT FEE - AUTOBANK Ht,-43.8
20251201,CASH DEPOSIT FEE - AUTOBANK Ht ACC 280690819 DEP BCH 4510,-46.4
20251202,CREDIT TRANSFER 9484 CAPITEC VLYMAN EMIHLE,5500.0
20251202,CREDIT TRANSFER 9841 CAPITEC 280690819 BABA -001,2000.0
20251202,AUTOBANK CASH DEPOSIT ZAMANDLANE MONI J750,1620.0
20251202,IB PAYMENT FROM MBARO02,3000.0
20251202,ELECTRONIC BANKING PAYMENT TO VAVI LUYANDA IRH73 07:34,-300.0
20251202,ELECTRONIC BANKING PAYMENT TO MATHILDA HUMPHREYS IRH73 07:34,-1950.0
20251202,ELECTRONIC BANKING PAYMENT TO MA SIMONS IRH73 07:34,-12000.0
20251202,ELECTRONIC BANKING PAYMENT TO LIZEL CASEY IRH73 07:34,-12150.0
20251202,DEBIT TRANSFER 9665 NP-NUPAY 35398/251201,-1564.08
20251202,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 0 04691121,2428.12
20251202,CASH DEPOSIT FEE - AUTOBANK HH ACC 280690819 DEP BCH 4510,-26.9
20251203,MAGTAPE CREDIT 9249 DIASOZO NYUMBEKA G11,2500.0
20251203,CREDIT TRANSFER 9262 CAPITEC MAPH 002,2016.0
20251203,CREDIT TRANSFER 9639 CAPITEC MAFA002 DEPOSIT,2500.0
20251203,CREDIT TRANSFER 9807 CAPITEC NDARALA AMILA ZUKHAN,2500.0
20251203,AUTOBANK CASH DEPOSIT TC.CHIKANDIWA 9493,1000.0
20251203,AUTOBANK CASH DEPOSIT YEKOO05 J750,1000.0
20251203,PAYSHAP PAYMENT FROM Naluthando Sili 001,1000.0
20251203,ELECTRONIC BANKING PAYMENT TO AFRICAN BOOKS _IRH73 12:17,-12546.76
20251203,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 0 04691121,2519.42
20251203,CASH DEPOSIT FEE - AUTOBANK Ht,-17.8
20251203,CASH DEPOSIT FEE - AUTOBANK HH ACC 280690819 DEP BCH 4510,-17.8
20251203,BUSINESS ELECT BANK CHARGES Ht STNDRDBANK BOL QXK11 NOV 25,-1355.97
20251204,MAGTAPE CREDIT 9765 BASC42__EC: EDUCA000074321,372423.59
20251204,CREDIT TRANSFER 9791,2000.0
20251204,AUTOBANK CASH DEPOSIT NALUTHANDO SILI001 9561,2600.0
20251204,ELECTRONIC BANKING PAYMENT TO GCA01 ALLIED BUSINE IRH7314:15,-1748.0
20251204,ELECTRONIC BANKING PAYMENT TO INSPIRE AFRICA GRO IRH73 14:15,-71538.59
20251204,CREDIT CARD EFTPOS SETTLEMENT CREFTPOS 0 04691121,990.67
20251204,CASH DEPOSIT FEE - AUTOBANK Ht,-38.6
20251205,MAGTAPE CREDIT 9190 SINAYO MAHLATHI,10520.0
20251205,CREDIT TRANSFER 9567 CAPITEC _IVAMAPHIKANA,1000.0
20251205,CREDIT TRANSFER 9626 DONATION FROM NHF VI,78000.0
20251205,CHEQUE CARD PURCHASE 9910 ROCHE HOUSE C04278193343868527,-570.0
20251205,CREDIT AGREEMENT REPAYMENT 9443 KEMPFIN KEMPSTON - 05790,-8253.08
20251206,CREDIT TRANSFER 9124 CAPITEC BUNONO GCINGCA,7350.0
20251206,CREDIT TRANSFER 9508 CAPITEC 280690819 BABA -001,2500.0
20251206,CREDIT TRANSFER 9596 CAPITEC NDUBISIKO,1360.0
20251208,PAYSHAP PAYMENT FROM Anebhongo FISANA,2800.0
20251208,PAYSHAP PAYMENT FROM Rodolo Naledi,3520.0
20251208,ELECTRONIC BANKING PAYMENT TO MTEMBU S TRAVELS IRH73 16:00,-4500.0
20251208,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 0 04691121,2428.12
20251209,CREDIT TRANSFER 9356 Jack Kuhle,2500.0
20251209,CREDIT TRANSFER 9706 ABSA BANK Maquba Ntlantla,2800.0
20251209,CREDIT TRANSFER 9926 CAPITEC IVAMAPHIKANA,1500.0
20251209,AUTOBANK CASH DEPOSIT LUPHIWO BAM J232,200.0
20251209,PAYSHAP PAYMENT FROM Hlelokuhle Maqiza,1404.87
20251209,IB PAYMENT FROM ST DUSTAN FESTIVAL/SPORT,1500.0
20251209,PAYSHAP PAYMENT FROM Viyman emihle,2070.0
20251209,AUTOBANK CASH DEPOSIT LIYEMA KWAZA. 9491,2400.0
20251209,AUTOBANK CASH DEPOSIT HLALUMI KWAZA. 9491,2400.0
20251209,AUTOBANK CASH DEPOSIT LUPHIWO BAM J232,2600.0
20251209,PAYSHAP PAYMENT FROM A. Pantsi,2700.0
20251209,PAYSHAP PAYMENT FROM MATY001,3100.0
20251209,IB PAYMENT FROM SIPHELELE CERU,4000.0
20251209,IB PAYMENT FROM DESE001,5420.0
20251209,IB PAYMENT FROM TENGOO1,6500.0
20251209,AUTOBANK CASH DEPOSIT LUPHIWO BAM J232,14600.0
20251209,CASH DEPOSIT FEE - AUTOBANK HH ACC 280690819 DEP BCH 2710,-7.4
20251209,CASH DEPOSIT FEE - AUTOBANK Ht,-36.0
20251209,CASH DEPOSIT FEE - AUTOBANK Ht,-36.0
