date,amount,kind,description,canon,score
01/12/2025,-0.35,TABLE,SMS Notification Fee: 1 notification(s) Fees (Fee),sms notification fee notification s fees,47
01/12/2025,-0.35,TEXT,SMS Notification Fee: 1 notification(s) Fees,sms notification fee notification s fees,42
02/11/2025,-600.0,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
02/11/2025,-600.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
02/12/2025,-0.35,TABLE,SMS Notification Fee: 1 notification(s) Fees (Fee),sms notification fee notification s fees,47
02/12/2025,-0.35,TEXT,SMS Notification Fee: 1 notification(s) Fees,sms notification fee notification s fees,42
03/01/2026,-0.35,TABLE,SMS Notification Fee: 1 notification(s) Fees (Fee),sms notification fee notification s fees,47
03/01/2026,-0.35,TEXT,SMS Notification Fee: 1 notification(s) Fees,sms notification fee notification s fees,42
03/01/2026,107.29,TABLE,Banking App Transfer from Live Better Savings Account (2234100670),banking app from live better savings account,61
03/01/2026,107.29,TEXT,Banking App Transfer from Live Better Savings Account  Transfer,banking app from live better savings account,54
04/01/2026,-0.35,TABLE,SMS Notification Fee: 1 notification(s) Fees (Fee),sms notification fee notification s fees,47
04/01/2026,-0.35,TEXT,SMS Notification Fee: 1 notification(s) Fees,sms notification fee notification s fees,42
04/10/2025,-200.0,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
04/10/2025,-200.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
04/12/2025,-600.0,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
04/12/2025,-600.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
05/01/2026,-500.0,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
05/01/2026,-500.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
05/01/2026,-500.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
05/01/2026,-1.05,TABLE,SMS Notification Fee: 3 notification(s) Fees (Fee),sms notification fee notification s fees,47
05/01/2026,-1.05,TEXT,SMS Notification Fee: 3 notification(s) Fees,sms notification fee notification s fees,42
05/11/2025,-322.23,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
