date,description,amount
04/10/2025,Banking App Transfer to Credit Card: Transfer,-200.0
07/10/2025,Banking App Immediate Payment: Judy Digital Payments,-230.0
07/10/2025,Banking App Immediate Payment: Judy Digital Payments (Fee),-1.0
07/10/2025,SMS Notification Fee: 2 notification(s) Fees (Fee),-0.7
11/10/2025,Banking App Transfer to Credit Card: Transfer,-500.0
11/10/2025,SMS Notification Fee: 2 notification(s) Fees (Fee),-0.7
15/10/2025,SMS Notification Fee: 3 notification(s) Fees (Fee),-1.05
20/10/2025,"Payment Received: Anpersald5 D5 
Pay5952877000470salary 2734882003 Salary",17271.92
20/10/2025,Banking App External Payment: Karen Botha Uncategorised,-200.0
20/10/2025,Banking App External Payment: Karen Botha Uncategorised (Fee),-2.0
20/10/2025,"Immediate Capitec Pay Payment: Assessment911 
(PAYFAST*ASSESSMENT91) Digital Payments",-74.0
20/10/2025,"Immediate Capitec Pay Payment: Assessment911 
(PAYFAST*ASSESSMENT91) Digital Payments (Fee)",-1.0
20/10/2025,Banking App External Payment: Truworths And Uzzi Clothing & Shoes,-300.0
20/10/2025,Banking App External Payment: Gems Medical Aid,-1606.0
20/10/2025,"Eft Debit Order (2735344414): Vodacom 04 (70073389 
I8547)",-822.2
25/10/2025,"DebiCheck Debit Order (2746138131): Mobicred 
(1000744994.1) Uncategorised",-561.87
25/10/2025,"DebiCheck Debit Order (2746138131): Mobicred 
(1000744994.1) Uncategorised (Fee)",-3.0
25/10/2025,Banking App Immediate Payment: Judy Digital Payments,-2500.0
25/10/2025,Banking App Immediate Payment: Judy Digital Payments (Fee),-1.0
26/10/2025,Payment Received: J Van Der Bergh Other Income,200.0
26/10/2025,Banking App Transfer to Credit Card: Transfer,-1000.0
26/10/2025,SMS Notification Fee: 4 notification(s) Fees (Fee),-1.4
27/10/2025,Banking App Transfer to Credit Card: Transfer,-500.0
31/10/2025,Interest Received,2.69
02/11/2025,Banking App Transfer to Credit Card: Transfer,-600.0
05/11/2025,Banking App Transfer to Credit Card: Transfer,-322.23
05/11/2025,SMS Notification Fee: 2 notification(s) Fees (Fee),-0.7
08/11/2025,Banking App Transfer to Credit Card: Transfer,-300.0
08/11/2025,Banking App Transfer to Credit Card: Transfer,-400.0
08/11/2025,SMS Notification Fee: 5 notification(s) Fees (Fee),-1.75
15/11/2025,"Banking App Transfer from Live Better Savings Account 
(2234100670)",191.05
15/11/2025,SMS Notification Fee: 1 notification(s) Fees (Fee),-0.35
19/11/2025,Payment Received: Jess Payment 2799839095 Other Income,200.0
20/11/2025,"Payment Received: Anpersald5 D5 
Pay5952877000470salary 2797713063 Salary",17271.91
20/11/2025,Payment Received: R Kersop Other Income,200.0
20/11/2025,"Eft Debit Order (2798121122): Vodacom 04 (72127785 
I8547) Cellphone",-822.2
20/11/2025,"Eft Debit Order (2798121122): Vodacom 04 (72127785 
I8547) Cellphone (Fee)",-3.0
20/11/2025,Banking App External Payment: Mini-minors Educare Uncategorised,-2100.0
20/11/2025,Banking App External Payment: Mini-minors Educare Uncategorised (Fee),-2.0
20/11/2025,"Banking App External Payment: Tenacity Financial S Store Account 
Payments",-500.0
20/11/2025,Banking App External Payment: Jet Store Card Uncategorised,-300.0
20/11/2025,SMS Notification Fee: 12 notification(s) Fees (Fee),-4.2
21/11/2025,Payment Received: Ilizell Payday Delux Transfer 2804810943 Other Income,200.0
24/11/2025,Banking App Transfer to Credit Card: Transfer,-1500.0
24/11/2025,SMS Notification Fee: 2 notification(s) Fees     -0.70,0.0
25/11/2025,Payment Received: Rtc 051j9gm7gp Christopher Mcpherso,6000.0
26/11/2025,Banking App Transfer to Credit Card: Transfer,-3000.0
28/11/2025,Payment Received: J Van Der Bergh Other Income,600.0
28/11/2025,Banking App Immediate Payment: Chris Digital Payments,-1300.0
28/11/2025,Banking App Immediate Payment: Chris Digital Payments (Fee),-1.0
28/11/2025,SMS Notification Fee: 4 notification(s) Fees (Fee),-1.4
